Trip.ID,Duration,Start .Date,Start .Station,Start .Terminal,End.Date,End.Station,End.Terminal,Bike..,Subscriber.Type,Zip.Code
T100039,9262,10/22/2014 16:35,Mountain View Caltrain,01008,10/22/2014 19:10,Downtown San Jose,01007,B9172,Customer,94089
T100040,5460,11/09/2014 22:46,Sunnyvale Station,01007,11/10/2014 00:17,Redwood City,01012,B7937,Customer,94518
T100041,2062,03/04/2014 00:07,Cupertino Center,01015,03/04/2014 00:42,Oakland Transit,01015,B8210,Subscriber,94561
T100042,6790,09/29/2014 03:07,Los Gatos Depot,01005,09/29/2014 05:01,Mountain View Caltrain,01007,B9020,Subscriber,94117
T100043,5853,06/14/2014 03:03,Los Gatos Depot,01013,06/14/2014 04:40,Menlo Park,01003,B7830,Subscriber,94062
T100044,6989,05/13/2014 03:21,Menlo Park,01014,05/13/2014 05:18,Redwood City,01014,B3668,Subscriber,94964
T100045,902,04/18/2014 21:56,Los Gatos Depot,01005,04/18/2014 22:11,Palo Alto Station,01010,B3364,Customer,94930
T100046,4772,03/02/2014 09:10,Santa Clara Transit,01008,03/02/2014 10:29,San Jose Diridon,01010,B9286,Subscriber,95004
T100047,9897,03/25/2014 14:52,Fremont Hub,01003,03/25/2014 17:37,Santana Row,01002,B3082,Customer,94355
T100048,5179,10/24/2014 12:16,Menlo Park,01007,10/24/2014 13:43,Menlo Park,01003,B8942,Customer,94969
T100049,5821,05/11/2014 17:17,San Jose Diridon,01005,05/11/2014 18:54,Campbell Ave,01004,B8499,Customer,95117
T100050,1757,02/09/2014 16:40,Oakland Transit,01010,02/09/2014 17:09,San Jose Diridon,01005,B3119,Subscriber,94212
T100051,9528,02/06/2014 00:27,Oakland Transit,01015,02/06/2014 03:06,Mountain View Caltrain,01008,B9408,Subscriber,94078
T100052,8373,05/28/2014 13:10,Redwood City,01001,05/28/2014 15:30,Mountain View Caltrain,01014,B9669,Customer,94756
T100053,3545,02/07/2014 13:27,Santa Clara Transit,01012,02/07/2014 14:26,San Jose Diridon,01009,B2934,Customer,94059
T100054,2595,05/20/2014 09:55,Sunnyvale Station,01009,05/20/2014 10:39,Palo Alto Station,01006,B4483,Subscriber,94313
T100055,7960,11/26/2014 03:13,Cupertino Center,01015,11/26/2014 05:25,Fremont Hub,01002,B8461,Subscriber,94362
T100056,3734,05/14/2014 13:53,Los Gatos Depot,01003,05/14/2014 14:56,Santa Clara Transit,01015,B8755,Customer,94269
T100057,1833,08/23/2014 11:08,Cupertino Center,01008,08/23/2014 11:38,Cupertino Center,01010,B1534,Subscriber,94169
T100058,5796,04/13/2014 17:30,Sunnyvale Station,01014,04/13/2014 19:07,Mountain View Caltrain,01013,B3569,Subscriber,94859
T100059,9173,11/10/2014 10:58,Menlo Park,01011,11/10/2014 13:31,Los Gatos Depot,01007,B7051,Customer,94244
T100060,6082,01/17/2014 20:59,Downtown San Jose,01008,01/17/2014 22:40,Oakland Transit,01002,B2945,Customer,94114
T100061,1942,10/11/2014 09:35,Santa Clara Transit,01002,10/11/2014 10:07,Sunnyvale Station,01001,B7694,Customer,94908
T100062,4624,06/28/2014 10:09,Redwood City,01012,06/28/2014 11:26,Santa Clara Transit,01007,B2807,Customer,94127
T100063,9466,07/28/2014 06:00,San Jose Diridon,01009,07/28/2014 08:38,Downtown San Jose,01011,B2980,Customer,94643
T100064,3765,02/18/2014 11:27,Fremont Hub,01002,02/18/2014 12:30,Downtown San Jose,01015,B7055,Customer,94199
T100065,7090,12/25/2014 04:24,Fremont Hub,01003,12/25/2014 06:23,Santana Row,01005,B5744,Customer,95114
T100066,9250,05/28/2014 00:11,Sunnyvale Station,01013,05/28/2014 02:45,Redwood City,01007,B1659,Customer,94568
T100067,10246,01/31/2014 14:28,Santana Row,01010,01/31/2014 17:19,Downtown San Jose,01003,B9565,Subscriber,94397
T100068,10112,08/03/2014 09:23,Downtown San Jose,01015,08/03/2014 12:12,Downtown San Jose,01009,B3511,Subscriber,94034
T100069,10589,04/24/2014 20:37,Mountain View Caltrain,01012,04/24/2014 23:33,Campbell Ave,01008,B2929,Customer,94681
T100070,9181,11/19/2014 02:36,Sunnyvale Station,01009,11/19/2014 05:09,San Jose Diridon,01012,B7086,Customer,94648
T100071,490,09/02/2014 03:20,Santana Row,01003,09/02/2014 03:29,Downtown San Jose,01010,B5995,Customer,94346
T100072,10037,08/29/2014 05:01,Redwood City,01007,08/29/2014 07:48,Redwood City,01013,B7135,Customer,94750
T100073,4441,12/10/2014 21:00,Los Gatos Depot,01007,12/10/2014 22:14,Mountain View Caltrain,01015,B5968,Subscriber,95057
T100074,534,12/01/2014 15:41,Mountain View Caltrain,01006,12/01/2014 15:50,Cupertino Center,01003,B5816,Customer,94029
T100075,3015,05/21/2014 10:40,Cupertino Center,01008,05/21/2014 11:31,San Jose Diridon,01004,B8961,Subscriber,94825
T100076,4537,08/13/2014 05:18,San Jose Diridon,01001,08/13/2014 06:34,Redwood City,01003,B1458,Customer,94852
T100077,5122,03/16/2014 16:15,Campbell Ave,01003,03/16/2014 17:40,Menlo Park,01014,B3340,Subscriber,94125
T100078,5627,10/01/2014 15:05,Campbell Ave,01008,10/01/2014 16:38,Los Gatos Depot,01007,B3328,Subscriber,94133
T100079,5811,01/28/2014 00:18,Palo Alto Station,01010,01/28/2014 01:54,Mountain View Caltrain,01005,B7910,Subscriber,94395
T100080,160,01/18/2014 19:06,Downtown San Jose,01015,01/18/2014 19:09,Fremont Hub,01009,B1797,Customer,95027
T100081,3032,09/14/2014 19:25,Oakland Transit,01012,09/14/2014 20:15,Menlo Park,01008,B5999,Subscriber,94302
T100082,2407,03/30/2014 12:09,Oakland Transit,01015,03/30/2014 12:50,Los Gatos Depot,01001,B5644,Subscriber,94546
T100083,9338,10/28/2014 05:31,Los Gatos Depot,01004,10/28/2014 08:06,San Jose Diridon,01014,B4532,Subscriber,94171
T100084,6626,04/23/2014 09:17,Downtown San Jose,01015,04/23/2014 11:07,Menlo Park,01014,B3999,Customer,94353
T100085,1200,01/31/2014 23:42,Campbell Ave,01008,02/01/2014 00:02,Oakland Transit,01005,B9008,Customer,94908
T100086,2384,11/29/2014 04:08,Cupertino Center,01002,11/29/2014 04:48,Mountain View Caltrain,01014,B1034,Subscriber,94091
T100087,10433,04/01/2014 09:46,Redwood City,01005,04/01/2014 12:39,Campbell Ave,01010,B3004,Subscriber,94564
T100088,562,12/03/2014 12:12,Palo Alto Station,01006,12/03/2014 12:22,Cupertino Center,01005,B9970,Subscriber,94406
T100089,1563,02/09/2014 05:24,Fremont Hub,01012,02/09/2014 05:50,Mountain View Caltrain,01008,B6712,Customer,95035
T100090,8751,05/28/2014 15:01,Santana Row,01011,05/28/2014 17:27,Santa Clara Transit,01009,B2106,Customer,94838
T100091,3584,04/18/2014 22:54,Fremont Hub,01015,04/18/2014 23:53,Fremont Hub,01012,B1732,Subscriber,94354
T100092,6223,06/26/2014 02:05,Mountain View Caltrain,01012,06/26/2014 03:49,Redwood City,01008,B7841,Customer,94006
T100093,6938,09/04/2014 21:00,San Jose Diridon,01013,09/04/2014 22:56,Santa Clara Transit,01004,B8883,Customer,94637
T100094,7492,11/20/2014 22:28,Los Gatos Depot,01003,11/21/2014 00:33,Los Gatos Depot,01001,B6074,Subscriber,94560
T100095,5645,05/22/2014 16:28,Mountain View Caltrain,01012,05/22/2014 18:03,Mountain View Caltrain,01013,B8411,Customer,95148
T100096,2638,03/05/2014 04:02,San Jose Diridon,01012,03/05/2014 04:46,Santa Clara Transit,01001,B6534,Subscriber,94718
T100097,6122,05/24/2014 18:20,Santa Clara Transit,01002,05/24/2014 20:02,Fremont Hub,01003,B7181,Subscriber,94241
T100098,5165,05/18/2014 23:21,Sunnyvale Station,01002,05/19/2014 00:47,Santana Row,01005,B8786,Subscriber,94699
T100099,5374,03/23/2014 08:44,San Jose Diridon,01002,03/23/2014 10:14,Downtown San Jose,01005,B3175,Subscriber,94954
T100100,9359,09/18/2014 06:29,San Jose Diridon,01012,09/18/2014 09:05,Downtown San Jose,01011,B3269,Subscriber,94176
T100101,9828,04/14/2014 16:24,Fremont Hub,01008,04/14/2014 19:08,Oakland Transit,01014,B9270,Subscriber,94948
T100102,1451,09/30/2014 13:26,Downtown San Jose,01011,09/30/2014 13:50,Redwood City,01011,B8551,Subscriber,94180
T100103,921,12/30/2014 18:15,Cupertino Center,01006,12/30/2014 18:30,San Jose Diridon,01008,B8371,Customer,94238
T100104,2609,09/23/2014 11:07,Santa Clara Transit,01002,09/23/2014 11:51,Santana Row,01002,B8357,Subscriber,94185
T100105,2639,09/09/2014 16:07,Redwood City,01009,09/09/2014 16:51,Palo Alto Station,01011,B3440,Customer,94373
T100106,10182,01/28/2014 17:31,Menlo Park,01012,01/28/2014 20:20,Cupertino Center,01011,B6328,Customer,94176
T100107,875,08/25/2014 13:30,Cupertino Center,01007,08/25/2014 13:45,Sunnyvale Station,01015,B2463,Subscriber,94380
T100108,1396,09/04/2014 14:25,Fremont Hub,01012,09/04/2014 14:48,Palo Alto Station,01005,B7711,Subscriber,94650
T100109,4518,03/08/2014 11:07,Downtown San Jose,01013,03/08/2014 12:22,Menlo Park,01007,B7344,Subscriber,94041
T100110,7319,07/27/2014 10:32,Downtown San Jose,01009,07/27/2014 12:34,Downtown San Jose,01003,B4814,Customer,94346
T100111,7007,10/11/2014 03:57,Menlo Park,01010,10/11/2014 05:54,Fremont Hub,01008,B7478,Subscriber,94021
T100112,8017,04/06/2014 01:48,Downtown San Jose,01003,04/06/2014 04:01,Fremont Hub,01015,B6554,Subscriber,94445
T100113,10006,03/05/2014 11:01,Mountain View Caltrain,01007,03/05/2014 13:48,Oakland Transit,01012,B9863,Subscriber,94767
T100114,7302,06/29/2014 12:34,Redwood City,01009,06/29/2014 14:36,Cupertino Center,01011,B1750,Customer,94942
T100115,6845,05/28/2014 08:46,Cupertino Center,01007,05/28/2014 10:40,Santa Clara Transit,01004,B8259,Subscriber,94166
T100116,4535,04/15/2014 20:05,Cupertino Center,01001,04/15/2014 21:21,Redwood City,01001,B5544,Subscriber,94505
T100117,3591,12/26/2014 09:16,Los Gatos Depot,01013,12/26/2014 10:16,Palo Alto Station,01002,B2450,Subscriber,94630
T100118,8454,09/06/2014 13:13,Palo Alto Station,01003,09/06/2014 15:34,Santa Clara Transit,01013,B3713,Subscriber,94391
T100119,1924,09/25/2014 06:08,Santa Clara Transit,01015,09/25/2014 06:40,Redwood City,01005,B1406,Subscriber,94271
T100120,5715,08/05/2014 07:08,Mountain View Caltrain,01006,08/05/2014 08:44,Fremont Hub,01008,B6060,Customer,94635
T100121,7103,03/27/2014 06:57,Santa Clara Transit,01010,03/27/2014 08:56,Oakland Transit,01002,B3028,Subscriber,94109
T100122,1876,09/23/2014 21:04,Mountain View Caltrain,01014,09/23/2014 21:35,Menlo Park,01010,B2395,Subscriber,94776
T100123,4700,05/06/2014 22:32,Cupertino Center,01011,05/06/2014 23:50,Redwood City,01012,B4152,Customer,94587
T100124,9777,11/24/2014 07:56,Sunnyvale Station,01014,11/24/2014 10:39,Campbell Ave,01006,B9877,Subscriber,94364
T100125,8032,10/26/2014 09:12,Fremont Hub,01003,10/26/2014 11:25,San Jose Diridon,01010,B1866,Customer,94571
T100126,8693,10/29/2014 08:50,Palo Alto Station,01003,10/29/2014 11:15,Cupertino Center,01008,B9548,Customer,94287
T100127,5113,01/22/2014 17:22,Cupertino Center,01014,01/22/2014 18:47,Oakland Transit,01010,B4103,Customer,94646
T100128,804,03/30/2014 22:52,Campbell Ave,01003,03/30/2014 23:06,Cupertino Center,01007,B8796,Customer,94847
T100129,3672,11/16/2014 03:45,Downtown San Jose,01003,11/16/2014 04:46,Palo Alto Station,01014,B9235,Customer,94462
T100130,6535,01/13/2014 11:11,Los Gatos Depot,01013,01/13/2014 13:00,Mountain View Caltrain,01005,B1305,Subscriber,94385
T100131,9879,11/09/2014 15:34,Redwood City,01012,11/09/2014 18:18,San Jose Diridon,01011,B2970,Customer,94558
T100132,957,05/03/2014 12:14,Fremont Hub,01001,05/03/2014 12:30,San Jose Diridon,01011,B9713,Subscriber,94408
T100133,185,06/05/2014 19:07,Oakland Transit,01007,06/05/2014 19:10,Los Gatos Depot,01008,B3944,Subscriber,94362
T100134,3409,04/14/2014 23:31,Redwood City,01005,04/15/2014 00:28,Los Gatos Depot,01012,B1310,Subscriber,94604
T100135,4998,01/26/2014 16:55,Redwood City,01005,01/26/2014 18:18,Downtown San Jose,01014,B5504,Subscriber,94531
T100136,3520,03/23/2014 22:30,Redwood City,01012,03/23/2014 23:28,Cupertino Center,01002,B4371,Subscriber,94900
T100137,2308,12/21/2014 15:02,Mountain View Caltrain,01013,12/21/2014 15:41,Cupertino Center,01006,B5018,Subscriber,94541
T100138,4246,08/09/2014 06:30,Santa Clara Transit,01008,08/09/2014 07:40,Mountain View Caltrain,01009,B8278,Subscriber,94189
T100139,4802,12/07/2014 08:20,Menlo Park,01005,12/07/2014 09:40,Santa Clara Transit,01012,B2386,Customer,95003
T100140,5435,10/06/2014 19:26,Downtown San Jose,01011,10/06/2014 20:57,Sunnyvale Station,01010,B9741,Customer,94727
T100141,2025,05/03/2014 05:00,Menlo Park,01003,05/03/2014 05:34,Menlo Park,01001,B6249,Customer,94744
T100142,186,03/24/2014 13:49,Oakland Transit,01002,03/24/2014 13:52,Menlo Park,01014,B7583,Customer,94714
T100143,8209,09/12/2014 13:07,Sunnyvale Station,01015,09/12/2014 15:24,Menlo Park,01005,B1737,Customer,95071
T100144,7115,07/13/2014 21:10,San Jose Diridon,01003,07/13/2014 23:08,Campbell Ave,01003,B9052,Subscriber,94920
T100145,2938,06/03/2014 15:33,Sunnyvale Station,01004,06/03/2014 16:22,Sunnyvale Station,01010,B1381,Customer,94349
T100146,2176,12/10/2014 13:50,Mountain View Caltrain,01001,12/10/2014 14:26,Downtown San Jose,01001,B6569,Subscriber,94075
T100147,6289,12/22/2014 04:12,Downtown San Jose,01010,12/22/2014 05:56,Redwood City,01003,B8160,Customer,94789
T100148,8785,09/07/2014 15:48,Mountain View Caltrain,01013,09/07/2014 18:15,Oakland Transit,01006,B3957,Subscriber,94318
T100149,3830,06/28/2014 04:48,Santana Row,01005,06/28/2014 05:52,Cupertino Center,01008,B7798,Customer,95101
T100150,8256,02/25/2014 11:39,Los Gatos Depot,01001,02/25/2014 13:57,Palo Alto Station,01015,B1394,Subscriber,94431
T100151,9214,04/13/2014 20:51,Los Gatos Depot,01008,04/13/2014 23:25,Palo Alto Station,01012,B9649,Subscriber,94888
T100152,5862,02/24/2014 05:26,San Jose Diridon,01008,02/24/2014 07:04,Palo Alto Station,01003,B6199,Customer,94710
T100153,1240,04/06/2014 18:44,Santa Clara Transit,01014,04/06/2014 19:04,Sunnyvale Station,01006,B7258,Subscriber,94591
T100154,6565,10/17/2014 07:48,Redwood City,01008,10/17/2014 09:37,Los Gatos Depot,01003,B5213,Subscriber,94424
T100155,753,08/07/2014 00:19,Menlo Park,01009,08/07/2014 00:32,Oakland Transit,01001,B2491,Customer,94700
T100156,7207,07/29/2014 07:37,Redwood City,01013,07/29/2014 09:38,Santa Clara Transit,01005,B2878,Subscriber,95031
T100157,367,04/13/2014 00:55,Menlo Park,01001,04/13/2014 01:01,Sunnyvale Station,01006,B2627,Subscriber,95129
T100158,7592,10/18/2014 02:40,Palo Alto Station,01010,10/18/2014 04:46,Mountain View Caltrain,01007,B9876,Customer,94550
T100159,1335,08/16/2014 00:44,Mountain View Caltrain,01015,08/16/2014 01:06,Palo Alto Station,01011,B3755,Customer,94185
T100160,5189,06/16/2014 09:17,San Jose Diridon,01008,06/16/2014 10:44,Redwood City,01015,B5675,Customer,95051
T100161,9493,12/15/2014 16:18,Menlo Park,01004,12/15/2014 18:57,Fremont Hub,01006,B3359,Customer,94431
T100162,7093,08/15/2014 14:55,Palo Alto Station,01004,08/15/2014 16:53,Los Gatos Depot,01001,B3992,Customer,94528
T100163,9454,06/05/2014 02:40,Menlo Park,01010,06/05/2014 05:18,Oakland Transit,01005,B5187,Subscriber,94446
T100164,6686,05/21/2014 14:03,San Jose Diridon,01011,05/21/2014 15:54,San Jose Diridon,01005,B2468,Subscriber,94957
T100165,10548,03/27/2014 04:13,Palo Alto Station,01008,03/27/2014 07:08,Oakland Transit,01009,B3526,Customer,94534
T100166,6903,02/23/2014 17:20,Santana Row,01008,02/23/2014 19:15,Fremont Hub,01011,B6026,Customer,94064
T100167,4803,07/17/2014 21:07,Campbell Ave,01007,07/17/2014 22:27,Cupertino Center,01015,B7672,Subscriber,94236
T100168,1947,07/11/2014 15:54,Cupertino Center,01008,07/11/2014 16:26,Santana Row,01002,B3772,Customer,95058
T100169,6696,02/05/2014 07:20,Cupertino Center,01002,02/05/2014 09:11,Redwood City,01009,B1965,Subscriber,94381
T100170,401,10/21/2014 12:24,Fremont Hub,01010,10/21/2014 12:30,Cupertino Center,01004,B6329,Subscriber,94973
T100171,5381,01/19/2014 07:09,Oakland Transit,01010,01/19/2014 08:39,Mountain View Caltrain,01013,B3973,Subscriber,94286
T100172,2875,12/01/2014 10:03,Menlo Park,01001,12/01/2014 10:51,Santa Clara Transit,01011,B1445,Customer,94956
T100173,10187,02/12/2014 14:00,Santa Clara Transit,01004,02/12/2014 16:50,Redwood City,01003,B1958,Customer,94661
T100174,7598,03/01/2014 08:35,Palo Alto Station,01015,03/01/2014 10:41,Mountain View Caltrain,01013,B5882,Subscriber,94762
T100175,5988,09/01/2014 16:13,Campbell Ave,01009,09/01/2014 17:53,Santa Clara Transit,01002,B7388,Subscriber,94773
T100176,1503,03/04/2014 03:08,Palo Alto Station,01005,03/04/2014 03:33,Mountain View Caltrain,01010,B2617,Customer,94069
T100177,7215,11/04/2014 14:42,Menlo Park,01010,11/04/2014 16:43,Sunnyvale Station,01013,B6243,Subscriber,94660
T100178,1794,09/22/2014 06:32,Fremont Hub,01011,09/22/2014 07:02,Menlo Park,01003,B3334,Subscriber,94214
T100179,4046,06/13/2014 22:48,Oakland Transit,01009,06/13/2014 23:56,Los Gatos Depot,01009,B7763,Subscriber,94734
T100180,7198,08/20/2014 14:56,Santa Clara Transit,01014,08/20/2014 16:56,Santana Row,01006,B6311,Subscriber,94016
T100181,9708,01/25/2014 16:07,Menlo Park,01014,01/25/2014 18:49,Campbell Ave,01014,B5225,Subscriber,94325
T100182,6620,05/30/2014 10:17,Mountain View Caltrain,01004,05/30/2014 12:07,Campbell Ave,01006,B7152,Customer,94863
T100183,8644,05/29/2014 04:56,Fremont Hub,01001,05/29/2014 07:21,Palo Alto Station,01014,B2981,Subscriber,94973
T100184,1348,08/20/2014 10:04,San Jose Diridon,01003,08/20/2014 10:27,Redwood City,01014,B1849,Subscriber,94685
T100185,6544,07/01/2014 18:32,Campbell Ave,01003,07/01/2014 20:21,Redwood City,01011,B4318,Subscriber,94689
T100186,5143,07/25/2014 11:42,Fremont Hub,01001,07/25/2014 13:07,Sunnyvale Station,01013,B4925,Subscriber,94205
T100187,5622,04/08/2014 15:20,Downtown San Jose,01011,04/08/2014 16:54,Mountain View Caltrain,01005,B4874,Customer,94383
T100188,3690,08/03/2014 20:26,Santa Clara Transit,01006,08/03/2014 21:27,Santa Clara Transit,01005,B9076,Subscriber,94733
T100189,5516,12/01/2014 07:02,Cupertino Center,01001,12/01/2014 08:34,Los Gatos Depot,01011,B9333,Subscriber,94627
T100190,2814,01/05/2014 11:00,Mountain View Caltrain,01003,01/05/2014 11:47,Mountain View Caltrain,01012,B9264,Customer,94333
T100191,1311,09/22/2014 04:42,Santa Clara Transit,01014,09/22/2014 05:03,Sunnyvale Station,01012,B7308,Subscriber,94956
T100192,8423,10/07/2014 21:36,Menlo Park,01001,10/07/2014 23:57,Campbell Ave,01006,B2885,Subscriber,95119
T100193,10434,02/14/2014 11:41,Los Gatos Depot,01011,02/14/2014 14:35,Santana Row,01002,B5412,Customer,94381
T100194,1928,09/22/2014 18:00,Redwood City,01010,09/22/2014 18:32,Santana Row,01009,B1993,Subscriber,94044
T100195,8753,12/10/2014 14:49,Mountain View Caltrain,01014,12/10/2014 17:15,Campbell Ave,01010,B6215,Customer,94899
T100196,8415,07/28/2014 12:55,Santana Row,01010,07/28/2014 15:15,Los Gatos Depot,01006,B8615,Subscriber,94934
T100197,3236,10/19/2014 14:41,Santana Row,01005,10/19/2014 15:35,Redwood City,01014,B7669,Customer,94890
T100198,5784,04/14/2014 14:59,Cupertino Center,01006,04/14/2014 16:35,Santa Clara Transit,01003,B2072,Customer,94817
T100199,5812,10/26/2014 11:51,Campbell Ave,01015,10/26/2014 13:28,Menlo Park,01001,B8932,Customer,94969
T100200,10634,09/06/2014 22:11,San Jose Diridon,01002,09/07/2014 01:09,Los Gatos Depot,01003,B1473,Subscriber,94498
T100201,2479,05/13/2014 02:39,Santana Row,01001,05/13/2014 03:21,Palo Alto Station,01009,B7676,Customer,94517
T100202,3931,02/13/2014 07:44,Oakland Transit,01002,02/13/2014 08:50,Los Gatos Depot,01005,B4829,Customer,94764
T100203,1744,04/24/2014 23:37,Los Gatos Depot,01007,04/25/2014 00:06,Los Gatos Depot,01006,B1305,Customer,94691
T100204,2459,06/18/2014 20:18,Palo Alto Station,01003,06/18/2014 20:59,Campbell Ave,01013,B5409,Subscriber,94988
T100205,4253,03/03/2014 10:08,Campbell Ave,01003,03/03/2014 11:19,Fremont Hub,01008,B2663,Subscriber,94821
T100206,3292,06/26/2014 05:00,Palo Alto Station,01011,06/26/2014 05:55,Campbell Ave,01007,B5035,Customer,94614
T100207,2902,01/02/2014 06:14,Santa Clara Transit,01005,01/02/2014 07:03,Downtown San Jose,01006,B3057,Customer,94082
T100208,9929,10/08/2014 10:23,Fremont Hub,01010,10/08/2014 13:08,Palo Alto Station,01015,B5990,Subscriber,94479
T100209,2564,12/07/2014 03:32,Mountain View Caltrain,01011,12/07/2014 04:15,San Jose Diridon,01015,B7664,Subscriber,95038
T100210,10799,10/07/2014 11:54,Los Gatos Depot,01012,10/07/2014 14:54,Campbell Ave,01003,B8306,Subscriber,94220
T100211,1294,04/13/2014 06:57,Redwood City,01012,04/13/2014 07:19,Sunnyvale Station,01002,B2374,Customer,94862
T100212,2962,07/14/2014 09:48,Menlo Park,01010,07/14/2014 10:37,Fremont Hub,01004,B9199,Customer,94872
T100213,10348,10/23/2014 22:00,Mountain View Caltrain,01010,10/24/2014 00:52,Sunnyvale Station,01003,B4333,Subscriber,94551
T100214,8155,03/11/2014 09:09,Sunnyvale Station,01013,03/11/2014 11:25,Menlo Park,01009,B3332,Customer,94820
T100215,7661,07/17/2014 03:56,Menlo Park,01009,07/17/2014 06:03,Menlo Park,01004,B7116,Subscriber,94058
