   GMS PTS REB AST TO A.T STL BLK PF FG FT X3P
 28 2 74.0 39.0 11.0 9.5 1.16 5.0 5.5 19.0 0.437 0.660 0.433
 29 2 63.0 29.5 15.0 9.5 1.58 7.0 1.5 22.5 0.429 0.767 0.283
 30 2 68.0 36.5 14.0 9.0 1.56 4.5 6.0 19.0 0.398 0.634 0.364
 31 2 71.5 42.0 13.5 11.5 1.17 3.5 3.0 15.5 0.463 0.600 0.241
 32 2 60.0 40.5 10.5 11.0 0.95 7.0 4.0 15.5 0.371 0.651 0.261
 33 2 73.5 32.5 13.0 13.5 0.96 5.5 1.0 15.0 0.470 0.684 0.433
 34 1 70.0 30.0 9.0 5.0 1.80 6.0 3.0 19.0 0.381 0.720 0.222
 35 1 66.0 27.0 16.0 13.0 1.23 5.0 2.0 15.0 0.433 0.533 0.300
 36 1 68.0 34.0 19.0 14.0 1.36 9.0 4.0 20.0 0.446 0.250 0.375
 37 1 68.0 42.0 10.0 21.0 0.48 6.0 5.0 26.0 0.359 0.727 0.194
 38 1 53.0 41.0 8.0 17.0 0.47 9.0 1.0 18.0 0.333 0.600 0.217
 39 1 77.0 33.0 15.0 18.0 0.83 5.0 0.0 16.0 0.508 0.250 0.450
 40 1 61.0 27.0 12.0 17.0 0.71 8.0 3.0 16.0 0.420 0.846 0.400
 41 1 55.0 42.0 11.0 17.0 0.65 6.0 3.0 19.0 0.404 0.455 0.250
 42 1 47.0 35.0 6.0 17.0 0.35 9.0 4.0 20.0 0.298 0.750 0.160
 43 1 57.0 37.0 8.0 24.0 0.33 9.0 3.0 12.0 0.418 0.889 0.250
 44 1 62.0 33.0 8.0 20.0 0.40 8.0 5.0 21.0 0.391 0.654 0.500
 45 1 65.0 34.0 17.0 17.0 1.00 11.0 2.0 19.0 0.352 0.500 0.333
 46 1 71.0 30.0 10.0 10.0 1.00 7.0 3.0 20.0 0.424 0.722 0.348
 47 1 54.0 35.0 12.0 22.0 0.55 5.0 1.0 19.0 0.404 0.667 0.300
 48 1 57.0 40.0 2.0 5.0 0.40 5.0 6.0 16.0 0.353 0.667 0.500
 49 1 81.0 30.0 13.0 15.0 0.87 9.0 1.0 29.0 0.426 0.846 0.350
 50 1 62.0 37.0 14.0 18.0 0.78 7.0 0.0 21.0 0.453 0.556 0.333
 51 1 67.0 37.0 12.0 16.0 0.75 8.0 2.0 16.0 0.353 0.867 0.214
 52 1 53.0 32.0 15.0 12.0 1.25 6.0 3.0 16.0 0.364 0.600 0.368
 53 1 73.0 34.0 17.0 19.0 0.89 3.0 3.0 20.0 0.520 0.750 0.391
 54 1 71.0 29.0 16.0 10.0 1.60 10.0 6.0 21.0 0.344 0.857 0.393
 55 1 46.0 30.0 10.0 11.0 0.91 3.0 1.0 23.0 0.365 0.500 0.333
 56 1 64.0 35.0 14.0 17.0 0.82 5.0 1.0 20.0 0.441 0.545 0.333
 57 1 64.0 43.0 5.0 11.0 0.45 6.0 1.0 20.0 0.339 0.760 0.294
 58 1 63.0 34.0 14.0 13.0 1.08 5.0 3.0 15.0 0.435 0.815 0.091
 59 1 63.0 36.0 11.0 20.0 0.55 8.0 2.0 18.0 0.397 0.643 0.381
 60 1 52.0 35.0 8.0 8.0 1.00 4.0 2.0 15.0 0.415 0.500 0.235
 61 1 50.0 19.0 10.0 17.0 0.59 12.0 2.0 22.0 0.444 0.700 0.300
 62 1 56.0 42.0 3.0 20.0 0.15 2.0 2.0 17.0 0.333 0.818 0.200
 63 1 54.0 22.0 13.0 10.0 1.30 6.0 1.0 20.0 0.415 0.889 0.222
 64 1 64.0 36.0 16.0 13.0 1.23 4.0 0.0 19.0 0.367 0.833 0.385
